utility,type,period,basic_charge_limit,month_start,month_end,hour_start,hour_end,weekday_start,weekday_end,charge,units,Notes
electric,customer,,,,,,,,,3429.29,$/month,Southern California Edison – TOU 8 E (2023 rates)
electric,demand,maximum,0,1,12,0,24,0,6,8.03,$/kW,Includes distribution and transmission (NOT gen.) charges
electric,energy,,0,6,9,16,21,0,4,0.09281,$/kWh,
electric,energy,,0,6,9,0,16,0,6,0.03208,$/kWh,
electric,energy,,0,6,9,21,24,0,6,0.03208,$/kWh,
electric,energy,,0,6,9,16,21,5,6,0.06307,$/kWh,
electric,energy,,0,1,5,16,21,0,6,0.02764,$/kWh,
electric,energy,,0,1,5,0,8,0,6,0.02252,$/kWh,
electric,energy,,0,1,5,21,24,0,6,0.02252,$/kWh,
electric,energy,,0,1,5,8,16,0,6,0.02307,$/kWh,
electric,energy,,0,10,12,16,21,0,6,0.02764,$/kWh,
electric,energy,,0,10,12,0,8,0,6,0.02252,$/kWh,
electric,energy,,0,10,12,21,24,0,6,0.02252,$/kWh,
electric,energy,,0,10,12,8,16,0,6,0.02307,$/kWh,
