utility,type,period,basic_charge_limit,month_start,month_end,hour_start,hour_end,weekday_start,weekday_end,charge,units,Notes
electric,customer,,,,,,,,,357.97,$/month,Assumed 2 to 50 kV (typical primary voltage)
electric,demand,peak,0,1,12,16,21,0,4,6.433,$/kW,Had to choose between low demand or low energy charges (Option D or Option E)
electric,demand,maximum,0,1,12,0,24,0,6,20.51,$/kW,
electric,energy,,0,1,12,0,8,0,6,0.03276,$/kWh,
electric,energy,,0,1,12,8,16,0,6,0.03238,$/kWh,
electric,energy,,0,1,12,21,24,0,6,0.03276,$/kWh,
electric,energy,,0,1,12,16,21,0,4,0.03373,$/kWh,
electric,energy,,0,1,12,16,21,5,6,0.033426667,$/kWh,
gas,customer,,,,,,,,,14.7945,$/month,Estimated from multiplying cost of 1 meter for 1 day by 30 days
gas,energy,,0,1,12,0,24,0,6,1.49844,$/therm,
gas,energy,,250,1,12,0,24,0,6,1.03166,$/therm,
gas,energy,,4167,1,12,0,24,0,6,0.71868,$/therm,
